objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,No. 1.pdf,,,"Text: Songs of Medusa, no. 1",Jacquelyn Deshchidn,2018,Text of first track from Songs of Medusa,greek mythology;contemporary classical music;body horror,"Baltimore, Maryland",39.2904° N,76.6122° W,Deshchidn personal archives,,text,pdf,eng; chiricahua apache,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
coll002,Songs of Medusa 1 Manuscript.pdf,,,"Manuscript: Songs of Medusa, no. 1",Jacquelyn Deshchidn,2018,Musical score for first track of Songs of Medusa,greek mythology;contemporary classical music;body horror,"Baltimore, Maryland",39.2904° N,76.6122° W,Deshchidn personal archives,,musical score,pdf,eng; chiricahua apache,In Copyright, http://rightsstatements.org/vocab/InC/1.0/
coll003,No. 2.pdf,,,"Text: Songs of Medusa, no. 2",Jacquelyn Deshchidn,2018,Text of second track from Songs of Medusa,greek mythology;contemporary classical music;body horror,"Baltimore, Maryland",39.2904° N,76.6122° W,Deshchidn personal archives,,text,pdf,eng; chiricahua apache,In Copyright, http://rightsstatements.org/vocab/InC/1.0/
coll004,"Songs of Medusa, no. 2 (studio ver).mp3",,,"Manuscript: Songs of Medusa, no. 2",Jacquelyn Deshchidn,2018,Musical score for second track of Songs of Medusa,greek mythology;contemporary classical music;body horror,"Baltimore, Maryland",39.2904° N,76.6122° W,Deshchidn personal archives,,musical score,pdf,eng; chiricahua apache,In Copyright, http://rightsstatements.org/vocab/InC/1.0/
coll005,No. 3.pdf,,,"Text: Songs of Medusa, no. 3",Jacquelyn Deshchidn,2017,Text of third track from Songs of Medusa,greek mythology;contemporary classical music;body horror,"Baltimore, Maryland",39.2904° N,76.6122° W,Deshchidn personal archives,,text,pdf,eng; chiricahua apache,In Copyright, http://rightsstatements.org/vocab/InC/1.0/
coll006,"DESHCHIDN_Songs of Medusa, No. 3 - Score (small staff, final draft).pdf",,,"Score: Songs of Medusa, no. 3",Jacquelyn Deshchidn,2017,Musical score for third track of Songs of Medusa,greek mythology;contemporary classical music;body horror,"Baltimore, Maryland",39.2904° N,76.6122° W,Deshchidn personal archives,,musical score,pdf,eng; chiricahua apache,In Copyright, http://rightsstatements.org/vocab/InC/1.0/
coll007,No. 4.pdf,,,"Text: Songs of Medusa, no. 4",Jacquelyn Deshchidn,2018,Text of fourth track from Songs of Medusa,greek mythology;contemporary classical music;body horror,"Baltimore, Maryland",39.2904° N,76.6122° W,Deshchidn personal archives,,text,pdf,eng; chiricahua apache,In Copyright, http://rightsstatements.org/vocab/InC/1.0/
coll008,Songs of Medusa no 4 manuscript clean copy.pdf,,,"Score: Songs of Medusa, no. 4",Jacquelyn Deshchidn,2018,Musical score for fourth track of Songs of Medusa,greek mythology;contemporary classical music;body horror,"Baltimore, Maryland",39.2904° N,76.6122° W,Deshchidn personal archives,,musical score,pdf,eng; chiricahua apache,In Copyright, http://rightsstatements.org/vocab/InC/1.0/
coll009,I say yes I say yes I say yes.pdf,,,Text: Fragment 755.15,Jacquelyn Deshchidn,2021,Text for Fragment 755.15,contemporary classical music;body horror,"Baltimore, Maryland",39.2904° N,76.6122° W,Deshchidn personal archives,,text,pdf,eng; chiricahua apache,In Copyright, http://rightsstatements.org/vocab/InC/1.0/
coll010,Fragment 755.15.mp3,,,Recording: Fragment 755.15,Jacquelyn Deshchidn,2021,Audio recording of Fragment 755.15,contemporary classical music;body horror,"Baltimore, Maryland",39.2904° N,76.6122° W,Deshchidn personal archives,,sound file,audio,eng; chiricahua apache,In Copyright, http://rightsstatements.org/vocab/InC/1.0/
coll011,Maggots.pdf,,,Text: Maggots on the-,Jacquelyn Deshchidn,2021,Text for Maggots on the-,contemporary classical music;body horror,"Baltimore, Maryland",39.2904° N,76.6122° W,Deshchidn personal archives,,text,pdf,eng; chiricahua apache,In Copyright, http://rightsstatements.org/vocab/InC/1.0/
coll012,Maggots on the-.mp3,,,Recording: Maggots on the- (extended version),Jacquelyn Deshchidn,2021,Recording of Maggots on the- (extended version),contemporary classical music;body horror,"Baltimore, Maryland",39.2904° N,76.6122° W,Deshchidn personal archives,,sound file,audio,eng; chiricahua apache,In Copyright, http://rightsstatements.org/vocab/InC/1.0/
coll013,No. 8.pdf,,,"Text: Songs of Medusa, no. 8",Jacquelyn Deshchidn,2018,Text of last track from Songs of Medusa,greek mythology;contemporary classical music;body horror,"Baltimore, Maryland",39.2904° N,76.6122° W,Deshchidn personal archives,,text,pdf,eng; chiricahua apache,In Copyright, http://rightsstatements.org/vocab/InC/1.0/
coll014,"Songs of Medusa, No. 8 - Graphics & Notes Incl..pdf",,,"Score: Songs of Medusa, no. 8",Jacquelyn Deshchidn,2021,Musical score for last track of Songs of Medusa,greek mythology;contemporary classical music;body horror,"Baltimore, Maryland",39.2904° N,76.6122° W,Deshchidn personal archives,,musical score,pdf,eng; chiricahua apache,In Copyright, http://rightsstatements.org/vocab/InC/1.0/
coll015,Medusa8 no.2 (2).aif,,,"Recording: Songs of Medusa, no. 8",Jacquelyn Deshchidn,2021,Recording of last track from Songs of Medusa,greek mythology;contemporary classical music;body horror,"Baltimore, Maryland",39.2904° N,76.6122° W,Deshchidn personal archives,,sound file,audio,eng; chiricahua apache,In Copyright, http://rightsstatements.org/vocab/InC/1.0/
coll016,Songs of Medusa no 8 manuscript.pdf,,,"Manuscript: Songs of Medusa, no. 8",Jacquelyn Deshchidn,2021,Musical score for last track of Songs of Medusa,greek mythology;contemporary classical music;body horror,"Baltimore, Maryland",39.2904° N,76.6122° W,Deshchidn personal archives,,musical score,pdf,eng; chiricahua apache,In Copyright, http://rightsstatements.org/vocab/InC/1.0/
coll017,2018-Spring-Practicum-Recital-Jacquelyn-Journal.mp3,,,Recording: Lookbook,Jacquelyn Deshchidn,2018,Recording of Lookbook,solo vocal repertoire,"Baltimore, Maryland",39.2904° N,76.6122° W,Deshchidn personal archives,,sound file,audio,eng; chiricahua apache,In Copyright, http://rightsstatements.org/vocab/InC/1.0/
coll018,12tone solo vocal pieces pdf deshchidn0000.pdf,,,Score: Lookbook,Jacquelyn Deshchidn,2018,Musical exploration of notation and vocal processes used in SoM,solo vocal repertoire,"Baltimore, Maryland",39.2904° N,76.6122° W,Deshchidn personal archives,,musical score,pdf,eng; chiricahua apache,In Copyright, http://rightsstatements.org/vocab/InC/1.0/
coll019,They Say Love J Deshchidn (1).wav,,,Recording: They say love,Jacquelyn Deshchidn,2018,Musical recording for they say love,vocal repertoire; korean,"Baltimore, Maryland",39.2904° N,76.6122° W,Deshchidn personal archives,,sound file,audio,eng; korean,In Copyright, http://rightsstatements.org/vocab/InC/1.0/
coll020,DESHCHIDN_they say love - score.pdf,,,Score: They say love,Jacquelyn Deshchidn,2018,Musical score for they say love,vocal repertoire; korean,"Baltimore, Maryland",39.2904° N,76.6122° W,Deshchidn personal archives,,musical score,pdf,eng; korean,In Copyright, http://rightsstatements.org/vocab/InC/1.0/
coll021,headerimage.png,,,image for collection,Jacquelyn Deshchidn,2020,Digital art by Jacquelyn Deshchidn,digital medium; photography; multimedia,"Baltimore, Maryland",39.2904° N,76.6122° W,Deshchidn personal archives,,image,img,,In Copyright,http://rightsstatements.org/vocab/InC/1.0/